sn,model,product_id,location,start_time,end_time,source,type,unit,value
"8899004084","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","2.419026359547634"
"8899004084","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","286.1247498276934"
"8899004110","HPE DL325 G10+ v2 4LFF TAA CTO Svr","P43249-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","1.7259423159356093"
"8899004110","HPE DL325 G10+ v2 4LFF TAA CTO Svr","P43249-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","40.94278606142448"
"8899004294","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","44.374750122515195"
"8899004294","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","86.96733219245618"
"8899004320","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","16.413669408395343"
"8899004320","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","104.7448308916634"
"8899004350","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","72.25108627980833"
"8899004350","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","87.39816208542283"
"8899004460","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","50.16836324943424"
"8899004460","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","205.9482154217428"
"8899004949","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","76.96043096411984"
"8899004949","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","104.41665423671172"
"8899005270","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","25.826543971390127"
"8899005270","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","109.720158043718"
"8899005401","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","53.57903150226433"
"8899005401","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","121.24329740676174"
"8899005412","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","2.886392363087831"
"8899005412","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","57.21237639831667"
"8899005459","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","75.79534307024333"
"8899005459","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","1.7437562583349078"
"8899005496","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","8.201522172475588"
"8899005496","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","90.88660939384405"
"8899005638","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","34.500893795513754"
"8899005638","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","257.0079240382202"
"8899005665","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","30.006230955479257"
"8899005665","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","217.41963285427065"
"8899005905","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","63.727763403143676"
"8899005905","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","203.5686593278238"
"8899006275","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","0.5466162228366864"
"8899006275","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","244.2717488725371"
"8899006322","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","24.201447219634765"
"8899006322","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","153.40972814089847"
"8899006372","HPE DL325 G10+ v2 4LFF TAA CTO Svr","P43249-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","32.68494217951897"
"8899006372","HPE DL325 G10+ v2 4LFF TAA CTO Svr","P43249-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","106.16074088173005"
"8899006909","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","30.50573054480034"
"8899006909","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","111.2554754389579"
"8899007204","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","16.7498171368497"
"8899007204","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","135.45267224205955"
"8899007489","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","22.313537477122978"
"8899007489","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","239.39706798163175"
"8899007598","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","61.53684343712796"
"8899007598","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","71.0909994484603"
"8899007613","HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","52.818800637689144"
"8899007613","HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","187.93736893868476"
"8899007730","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","2.2583936579195765"
"8899007730","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","237.78540255450304"
"8899007856","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","21.89356512899826"
"8899007856","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","9.661634338475213"
"8899007973","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","16.210477220874857"
"8899007973","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","157.98155815759245"
"8899008033","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","57.9238037015134"
"8899008033","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","17.231136704150387"
"8899008113","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","6.192592323336888"
"8899008113","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","268.2743868251039"
"8899008530","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","69.16856921025752"
"8899008530","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","10.488002330644056"
"8899009327","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","13.158651188285708"
"8899009327","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","171.01800173311912"
"8899009703","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","55.104297994427455"
"8899009703","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","99.58564012767413"
"8899010315","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","17.84731757776982"
"8899010315","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","97.79709670641392"
"8899011215","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","32.689717000510946"
"8899011215","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","49.31049154822493"
"8899012102","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","10.256872258674557"
"8899012102","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","62.21362640201431"
"8899012562","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","4.9714706151214125"
"8899012562","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","130.14216947605416"
"8899012692","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","0.5499555264948764"
"8899012692","HPE DX380 Gen10 8SFF CTO Svr","P17640-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","100.20231916573884"
"8899012982","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","7.6243996637930165"
"8899012982","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","WA-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","128.64510562006504"
"8899013026","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","2.8803023749218095"
"8899013026","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","34.15253735942592"
"8899013134","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","46.69567953019768"
"8899013134","HPE ZDL325 Gen10 LFF SMC Svr","P04655-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","75.39620489706196"
"8899013233","HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","19.401408224227236"
"8899013233","HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","144.54719490477515"
"8899014168","HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","78.35572037807566"
"8899014168","HPE DL325 Gen10+ 24SFF U.2 CTO Svr","P18612-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","85.06236979390084"
"8899014908","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","32.35325765152305"
"8899014908","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","11.789832662742079"
"8899015288","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","7.957379638207467"
"8899015288","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","67.34145313206629"
"8899015452","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","20.23186437325363"
"8899015452","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","153.18294925456468"
"8899015500","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","15.73395878442888"
"8899015500","HPE DL325 Gen10 7402P 1P 64G 8SFF Svr","P16696-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","108.44412427592188"
"8899015939","HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr","P15735-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","80.52952440467885"
"8899015939","HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr","P15735-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","69.56970623451511"
"8899016300","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","0.5390841515127299"
"8899016300","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","140.9772043211798"
"8899016687","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","42.991367458131016"
"8899016687","HPE DL325 G10+ v2 10All-NVMe Svr for SDS","R8V67A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","47.092001616743396"
"8899016948","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","72.68675162286655"
"8899016948","HPE DL325 Gen10+ 139TB AF Nd Qumulo","R8F01A","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","10.220690167094741"
"8899017452","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","35.380967900944164"
"8899017452","HPE ProLiant DX380 Gen10 12FF OEM2b Svr","P31734-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","160.61854897081352"
"8899017519","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","22.11558311761254"
"8899017519","HPE DL325 Gen10 8SFF CTO Server","P04654-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","14.252142727899399"
"8899017741","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","9.006291304017951"
"8899017741","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","56.39593257950524"
"8899018012","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","7.3795797320500895"
"8899018012","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","254.99625337659293"
"8899018067","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","69.21573373703652"
"8899018067","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","2.4448743095725947"
"8899018452","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","69.69766895512531"
"8899018452","HPE ProLiant DX380 Gen10 12LFF OEM2 Svr","P31732-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","212.188844432167"
"8899018618","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","16.166309829840042"
"8899018618","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","28.114385164369452"
"8899018640","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","3.773857747151949"
"8899018640","HPE ProLiant DX380 Gen10 24SFF OEM3 Svr","P31735-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","188.41892317599127"
"8899018669","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","24.86768407394823"
"8899018669","HPE DX380 Gen10+ 24SFF CTO Svr","P42679-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","20.17318869944969"
"8899018689","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","9.171933613059096"
"8899018689","HPE DL325 Gen10+ 24SFF CTO Svr","P15535-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","116.64101467855299"
"8899018825","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","10.130036741059747"
"8899018825","HPE DX380 Gen10 24SFF CTO Svr","P17642-B21","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","198.68148011124725"
"8899019259","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","22.312200517000676"
"8899019259","HPE DX380 Gen10+ 12LFF CTO Svr","P40792-B21","DE-1","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","153.7415828448119"
"8899020365","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","21.3459054756318"
"8899020365","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-02","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","118.29831558705733"
"8899020559","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server cpu utilization","%","57.376998466760156"
"8899020559","HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr","P38477-291","ND-01","2023-02-27 00:00:00","2023-02-27 01:00:00","iLo","server power","W","32.30510010204862"
