sn,model,product_id,location
8899057753,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-01
8899051704,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899088268,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,DE-1
8899050964,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899076071,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,WA-01
8899043421,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,DE-1
8899029550,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-02
8899025799,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899004320,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,DE-1
8899089188,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899032063,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,WA-01
8899017452,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,DE-1
8899009703,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-01
8899003655,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-02
8899086392,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,DE-1
8899081991,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,DE-1
8899018067,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899093758,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-02
8899040092,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,DE-1
8899090980,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-02
8899041027,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899062152,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899015939,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899021130,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899044625,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899037676,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,DE-1
8899092195,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-01
8899050725,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899056882,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-02
8899096591,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899002035,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899025527,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,WA-01
8899048529,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,WA-01
8899007613,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-01
8899052939,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899071683,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899095444,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-02
8899000245,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899025626,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,WA-01
8899047796,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899028996,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899059676,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899079763,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,WA-01
8899006322,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,WA-01
8899012982,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,WA-01
8899033048,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-02
8899098929,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,DE-1
8899050310,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-02
8899042262,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899036695,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-02
8899062213,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,DE-1
8899011215,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,WA-01
8899081246,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,WA-01
8899066674,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-02
8899061216,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899043456,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899045867,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-02
8899054750,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,DE-1
8899041781,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,WA-01
8899036349,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-01
8899036498,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-02
8899049418,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,WA-01
8899078340,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,WA-01
8899077706,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-01
8899003680,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,WA-01
8899099452,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-01
8899044157,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-02
8899089798,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899056773,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899060436,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-02
8899021648,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899079578,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,WA-01
8899009327,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899078970,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899006275,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899027983,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899022948,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899035288,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-02
8899090130,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899055020,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,WA-01
8899078008,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-02
8899075475,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,WA-01
8899008033,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,WA-01
8899035156,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,DE-1
8899084350,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899015288,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,DE-1
8899086343,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899047095,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,WA-01
8899022292,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-02
8899001577,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,WA-01
8899093261,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899014908,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,DE-1
8899043074,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899037368,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-02
8899050251,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-02
8899064212,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899074427,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899051890,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899094454,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899086991,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899068145,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,WA-01
8899024251,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-01
8899002376,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-02
8899073976,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899088932,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899023250,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,WA-01
8899027016,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,DE-1
8899097928,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-02
8899074406,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899096811,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,WA-01
8899084895,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-02
8899027350,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-01
8899061638,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899037524,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899025595,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,WA-01
8899056762,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899024584,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899020365,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-02
8899071930,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899000929,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-02
8899057641,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899080983,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899080686,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-02
8899097024,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,WA-01
8899088666,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,DE-1
8899018669,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-01
8899036272,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-02
8899072732,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,WA-01
8899072107,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899048797,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899091958,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-02
8899072601,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,DE-1
8899029906,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,DE-1
8899063879,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,WA-01
8899005638,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-02
8899000710,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-01
8899007973,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-01
8899020883,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,WA-01
8899021217,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899079445,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899005459,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899018618,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,DE-1
8899035320,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-01
8899071246,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899081857,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,WA-01
8899058987,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899003032,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899000453,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,WA-01
8899006909,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-02
8899079063,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899044710,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899004294,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899031771,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899066230,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-02
8899070441,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,WA-01
8899038486,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-02
8899046306,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,WA-01
8899078777,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-01
8899040261,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899035878,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,ND-01
8899037428,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899034544,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,WA-01
8899078176,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,WA-01
8899095625,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,WA-01
8899098961,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899048196,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-02
8899013233,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-01
8899038515,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899076276,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-02
8899083071,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899017741,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899042152,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,WA-01
8899087118,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-02
8899016687,HPE DL325 G10+ v2 10All-NVMe Svr for SDS,R8V67A,ND-01
8899020559,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899094738,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-01
8899024993,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899005905,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-02
8899058931,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,DE-1
8899049447,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899049863,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,WA-01
8899005412,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899034639,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,ND-01
8899042211,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,DE-1
8899013026,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,ND-01
8899064153,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899065011,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,DE-1
8899044567,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-01
8899036246,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-01
8899028422,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,WA-01
8899076842,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899019259,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899041989,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899036925,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-02
8899054371,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,DE-1
8899093483,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899033227,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899064237,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899040745,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-02
8899044185,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,WA-01
8899044748,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,ND-01
8899023002,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-02
8899065450,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899044276,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-02
8899020974,HPE DX380 Gen10 24SFF CTO Svr,P17642-B21,ND-01
8899067737,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899071047,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,DE-1
8899076569,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,DE-1
8899057799,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899048677,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,WA-01
8899007204,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899099902,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,ND-01
8899023833,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-01
8899034873,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899005270,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,ND-01
8899012102,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899056240,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,DE-1
8899068452,HPE ProLiant DX380 Gen10 24SFF OEM3 Svr,P31735-B21,ND-01
8899054529,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-01
8899080500,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,ND-02
8899091075,HPE DX380 Gen10 8SFF CTO Svr,P17640-B21,DE-1
8899061256,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899040462,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,ND-01
8899047382,HPE DL325 G10+ v2 4LFF TAA CTO Svr,P43249-B21,ND-02
8899047843,HPE DL325 Gen10+ 24SFF U.2 CTO Svr,P18612-B21,ND-02
8899050696,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899018689,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899065799,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899036038,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-01
8899057534,HPE ProLiant DX380 Gen10 12FF OEM2a Svr,P31733-B21,WA-01
8899021592,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899022983,HPE DX380 Gen10+ 24SFF CTO Svr,P42679-B21,DE-1
8899084225,HPE ProLiant DX380 Gen10 12FF OEM2b Svr,P31734-B21,ND-01
8899044327,HPE DL325 Gen10 8SFF CTO Server,P04654-B21,ND-01
8899068257,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-01
8899062119,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,ND-01
8899034778,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-02
8899088119,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-02
8899044682,HPE DL325 Gen10+ 24SFF CTO Svr,P15535-B21,ND-01
8899044449,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,ND-01
8899008530,HPE ProLiant DX380 Gen10 12LFF OEM2 Svr,P31732-B21,ND-01
8899052195,HPE DL325 Gen10 7402P 1P 64G 8SFF Svr,P16696-291,WA-01
8899041235,HPE DL325 G10+ v2 7313P 1P 32G 8SFF Svr,P38477-291,ND-02
8899071398,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,ND-02
8899082347,HPE DL325 Gen10+ 24SFF NVMe U.3 CTO Svr,P15735-B21,WA-01
8899007730,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,DE-1
8899092352,HPE ZDL325 Gen10 LFF SMC Svr,P04655-B21,WA-01
8899097052,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899088220,HPE DX380 Gen10+ 12LFF CTO Svr,P40792-B21,DE-1
8899092065,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
8899051170,HPE DL325 Gen10+ 139TB AF Nd Qumulo,R8F01A,ND-01
